Nome do deputado,Tipo de gasto,Partido,Estado,Valor
SILVIO TORRES,Fuels and lubricants,PSDB,SP,30.0
ROBERTO FREIRE,Automotive vehicle renting or charter,PPS,SP,2500.0
ELCIONE BARBALHO,Congressperson meal,PMDB,PA,19.0
EDUARDO BARBOSA,Congressperson meal,PSDB,MG,32.36
DILCEU SPERAFICO,Fuels and lubricants,PP,PR,113.2
CRISTIANE BRASIL,Congressperson meal,PTB,RJ,84.9
LIDERANÇA DO PT,Congressperson meal,,,2250.0
ROBERTO BRITTO,Publicity of parliamentary activity,PP,BA,3600.0
RICARDO TRIPOLI,Telecommunication,PSDB,SP,344.81
RENATO MOLLING,Congressperson meal,PP,RS,22.9
RENATO MOLLING,Congressperson meal,PP,RS,35.2
RENATO MOLLING,Taxi toll and parking,PP,RS,15.0
RENATO MOLLING,Taxi toll and parking,PP,RS,15.0
OTAVIO LEITE,Taxi toll and parking,PSDB,RJ,25.0
OTAVIO LEITE,Taxi toll and parking,PSDB,RJ,20.0
OTAVIO LEITE,Taxi toll and parking,PSDB,RJ,20.0
OTAVIO LEITE,Taxi toll and parking,PSDB,RJ,50.0
BENEDITA DA SILVA,Fuels and lubricants,PT,RJ,116.36
BENEDITA DA SILVA,Publicity of parliamentary activity,PT,RJ,13800.0
FELIPE MAIA,Maintenance of office supporting parliamentary activity,DEM,RN,360.0
EFRAIM FILHO,Maintenance of office supporting parliamentary activity,DEM,PB,1268.0
EDUARDO DA FONTE,Fuels and lubricants,PP,PE,50.01
DÉCIO LIMA,Congressperson meal,PT,SC,14.15
DÉCIO LIMA,Congressperson meal,PT,SC,25.55
DÉCIO LIMA,Congressperson meal,PT,SC,10.0
DÉCIO LIMA,Fuels and lubricants,PT,SC,100.0
CHICO D'ANGELO,Fuels and lubricants,PT,RJ,130.0
CHICO D'ANGELO,Publication subscriptions,PT,RJ,63.9
CHICO D'ANGELO,Congressperson meal,PT,RJ,26.63
CHICO D'ANGELO,Taxi toll and parking,PT,RJ,26.0
CELSO MALDANER,Fuels and lubricants,PMDB,SC,100.0
ANTONIO BULHÕES,Maintenance of office supporting parliamentary activity,PRB,SP,1122.54
ANTONIO BULHÕES,Congressperson meal,PRB,SP,60.4
ANTONIO BULHÕES,Consultancy research and technical work,PRB,SP,10000.0
ALFREDO KAEFER,Publicity of parliamentary activity,PSL,PR,1000.0
WELLINGTON ROBERTO,Fuels and lubricants,PR,PB,100.0
VANDER LOUBET,Fuels and lubricants,PT,MS,167.95
PATRUS ANANIAS,Publicity of parliamentary activity,PT,MG,3100.0
PATRUS ANANIAS,Publicity of parliamentary activity,PT,MG,200.0
ONYX LORENZONI,Fuels and lubricants,DEM,RS,80.0
MARIA DO ROSÁRIO,Postal services,PT,RS,51.75
MARIA DO ROSÁRIO,Terrestrial maritime and fluvial tickets,PT,RS,38.65
LUIZ COUTO,Fuels and lubricants,PT,PB,158.0
LUIZ COUTO,Publicity of parliamentary activity,PT,PB,1000.0
LOBBE NETO,Congressperson meal,PSDB,SP,22.15
DELEY,Fuels and lubricants,PTB,RJ,163.02
JOSÉ CARLOS ARAÚJO,Telecommunication,PR,BA,156.56
JOSÉ CARLOS ARAÚJO,Telecommunication,PR,BA,174.1
CHICO ALENCAR,Congressperson meal,PSOL,RJ,15.5
CHICO ALENCAR,Congressperson meal,PSOL,RJ,13.4
LUIS CARLOS HEINZE,Congressperson meal,PP,RS,29.5
OSMAR SERRAGLIO,Flight tickets,PMDB,PR,1896.93
MILTON MONTI,Fuels and lubricants,PR,SP,100.0
LUIZ SÉRGIO,Congressperson meal,PT,RJ,17.15
LUIZ SÉRGIO,Taxi toll and parking,PT,RJ,24.0
GONZAGA PATRIOTA,Maintenance of office supporting parliamentary activity,PSB,PE,665.5
LINCOLN PORTELA,Postal services,PRB,MG,16.1
NELSON PELLEGRINO,Congressperson meal,PT,BA,10.15
CARLOS EDUARDO CADOCA,Fuels and lubricants,PDT,PE,100.0
CARLOS EDUARDO CADOCA,Congressperson meal,PDT,PE,118.14
ANDRÉ DE PAULA,Congressperson meal,PSD,PE,61.9
ANDRÉ DE PAULA,Congressperson meal,PSD,PE,65.4
MARCUS VICENTE,Fuels and lubricants,PP,ES,65.01
SILVIO TORRES,Congressperson meal,PSDB,SP,20.1
SILVIO TORRES,Congressperson meal,PSDB,SP,62.9
HERMES PARCIANELLO,Fuels and lubricants,PMDB,PR,194.76
HERÁCLITO FORTES,Maintenance of office supporting parliamentary activity,PSB,PI,79.93
ELCIONE BARBALHO,Congressperson meal,PMDB,PA,11.1
ELCIONE BARBALHO,Congressperson meal,PMDB,PA,35.6
ELCIONE BARBALHO,Congressperson meal,PMDB,PA,62.55
ELCIONE BARBALHO,Fuels and lubricants,PMDB,PA,3204.7
EDUARDO BARBOSA,Congressperson meal,PSDB,MG,17.61
EDUARDO BARBOSA,Congressperson meal,PSDB,MG,33.9
DILCEU SPERAFICO,Fuels and lubricants,PP,PR,203.44
LUIZ CARLOS RAMOS,Congressperson meal,PODE,RJ,193.27
LIDERANÇA DO PT,Congressperson meal,,,3290.0
RICARDO TRIPOLI,Fuels and lubricants,PSDB,SP,2817.86
RENATO MOLLING,Congressperson meal,PP,RS,41.03
RENATO MOLLING,Congressperson meal,PP,RS,164.5
RENATO MOLLING,Congressperson meal,PP,RS,20.0
RENATO MOLLING,Taxi toll and parking,PP,RS,43.0
RENATO MOLLING,Taxi toll and parking,PP,RS,15.0
PEPE VARGAS,Congressperson meal,PT,RS,43.12
PEPE VARGAS,Lodging except for congressperson from Distrito Federal,PT,RS,303.45
OTAVIO LEITE,Taxi toll and parking,PSDB,RJ,25.0
OTAVIO LEITE,Taxi toll and parking,PSDB,RJ,20.0
OTAVIO LEITE,Congressperson meal,PSDB,RJ,60.9
OTAVIO LEITE,Congressperson meal,PSDB,RJ,37.73
BENEDITA DA SILVA,Taxi toll and parking,PT,RJ,20.0
LÁZARO BOTELHO,Publicity of parliamentary activity,PP,TO,1800.0
LAERTE BESSA,Fuels and lubricants,PR,DF,182.43
FLAVIANO MELO,Postal services,PMDB,AC,387.0
FELIPE MAIA,Fuels and lubricants,DEM,RN,231.07
FELIPE MAIA,Fuels and lubricants,DEM,RN,100.0
FÁBIO RAMALHO,Fuels and lubricants,PMDB,MG,100.0
FÁBIO FARIA,Fuels and lubricants,PSD,RN,175.0
DÉCIO LIMA,Congressperson meal,PT,SC,90.95
DÉCIO LIMA,Congressperson meal,PT,SC,90.95
DÉCIO LIMA,Fuels and lubricants,PT,SC,164.45
DAGOBERTO NOGUEIRA,Congressperson meal,PDT,MS,14.9
CHICO D'ANGELO,Taxi toll and parking,PT,RJ,240.14
CHICO D'ANGELO,Fuels and lubricants,PT,RJ,50.02
CHICO D'ANGELO,Taxi toll and parking,PT,RJ,25.0
CHICO D'ANGELO,Taxi toll and parking,PT,RJ,23.0
ANTONIO BULHÕES,Congressperson meal,PRB,SP,60.73
ANTONIO BULHÕES,Fuels and lubricants,PRB,SP,158.88
ALFREDO KAEFER,Maintenance of office supporting parliamentary activity,PSL,PR,447.0
AFONSO HAMM,Lodging except for congressperson from Distrito Federal,PP,RS,198.5
AFONSO HAMM,Lodging except for congressperson from Distrito Federal,PP,RS,178.5
MARCO MAIA,Fuels and lubricants,PT,RS,50.0
MARCO MAIA,Lodging except for congressperson from Distrito Federal,PT,RS,85.0
TAKAYAMA,Consultancy research and technical work,PSC,PR,17000.0
JEFFERSON CAMPOS,Taxi toll and parking,PSD,SP,1157.62
GERALDO RESENDE,Publicity of parliamentary activity,PSDB,MS,500.0
PAULO PIMENTA,Publicity of parliamentary activity,PT,RS,2300.0
PATRUS ANANIAS,Postal services,PT,MG,26.8
ONYX LORENZONI,Maintenance of office supporting parliamentary activity,DEM,RS,65.97
MARIA DO ROSÁRIO,Fuels and lubricants,PT,RS,202.02
MARIA DO ROSÁRIO,Taxi toll and parking,PT,RS,12.5
MARIA DO ROSÁRIO,Fuels and lubricants,PT,RS,230.94
LUIZ COUTO,Automotive vehicle renting or charter,PT,PB,1040.0
LOBBE NETO,Congressperson meal,PSDB,SP,17.5
JOSÉ OTÁVIO GERMANO,Fuels and lubricants,PP,RS,100.0
JOSÉ CARLOS ARAÚJO,Fuels and lubricants,PR,BA,153.37
CHICO ALENCAR,Congressperson meal,PSOL,RJ,25.3
BENJAMIN MARANHÃO,Fuels and lubricants,SD,PB,160.01
BENJAMIN MARANHÃO,Fuels and lubricants,SD,PB,375.0
BENJAMIN MARANHÃO,Congressperson meal,SD,PB,101.75
ASSIS DO COUTO,Taxi toll and parking,PDT,PR,20.0
CELSO JACOB,Congressperson meal,PMDB,RJ,54.85
POMPEO DE MATTOS,Telecommunication,PDT,RS,573.58
POMPEO DE MATTOS,Telecommunication,PDT,RS,64.99
POMPEO DE MATTOS,Fuels and lubricants,PDT,RS,100.0
LUIS CARLOS HEINZE,Fuels and lubricants,PP,RS,133.21
PEDRO CHAVES,Telecommunication,PMDB,GO,602.17
LUIZA ERUNDINA,Fuels and lubricants,PSOL,SP,1080.28
LUIZA ERUNDINA,Telecommunication,PSOL,SP,517.54
LUIZA ERUNDINA,Publicity of parliamentary activity,PSOL,SP,400.0
RODRIGO MAIA,Fuels and lubricants,DEM,RJ,219.99
RODRIGO MAIA,Publicity of parliamentary activity,DEM,RJ,20000.0
LUIZ SÉRGIO,Congressperson meal,PT,RJ,18.9
LINCOLN PORTELA,Fuels and lubricants,PRB,MG,61.03
PAULO MAGALHÃES,Fuels and lubricants,PSD,BA,100.0
PAULO MAGALHÃES,Fuels and lubricants,PSD,BA,100.0
NELSON PELLEGRINO,Fuels and lubricants,PT,BA,88.0
NELSON PELLEGRINO,Fuels and lubricants,PT,BA,112.38
NELSON PELLEGRINO,Congressperson meal,PT,BA,73.94
CARLOS EDUARDO CADOCA,Congressperson meal,PDT,PE,77.0
NILSON PINTO,Telecommunication,PSDB,PA,3899.96
JOSUÉ BENGTSON,Fuels and lubricants,PTB,PA,100.0
MARCUS VICENTE,Fuels and lubricants,PP,ES,100.0
MARCUS VICENTE,Fuels and lubricants,PP,ES,149.03
RAIMUNDO GOMES DE MATOS,Fuels and lubricants,PSDB,CE,118.65
PAULO FEIJÓ,Telecommunication,PR,RJ,615.24
YEDA CRUSIUS,Publicity of parliamentary activity,PSDB,RS,2500.0
VICENTE ARRUDA,Maintenance of office supporting parliamentary activity,PDT,CE,111.6
SILVIO TORRES,Congressperson meal,PSDB,SP,64.0
SILVIO TORRES,Fuels and lubricants,PSDB,SP,162.03
SILVIO TORRES,Fuels and lubricants,PSDB,SP,150.0
SILVIO TORRES,Congressperson meal,PSDB,SP,62.9
ROBERTO FREIRE,Maintenance of office supporting parliamentary activity,PPS,SP,33.92
MAURO LOPES,Publicity of parliamentary activity,PMDB,MG,2000.0
JOSÉ ROCHA,Fuels and lubricants,PR,BA,189.53
JAIME MARTINS,Fuels and lubricants,PSD,MG,200.0
ELCIONE BARBALHO,Congressperson meal,PMDB,PA,4.0
ELCIONE BARBALHO,Congressperson meal,PMDB,PA,36.95
ELCIONE BARBALHO,Congressperson meal,PMDB,PA,20.3
EDUARDO BARBOSA,Congressperson meal,PSDB,MG,24.4
EDUARDO BARBOSA,Fuels and lubricants,PSDB,MG,62.19
DILCEU SPERAFICO,Fuels and lubricants,PP,PR,195.01
LIDERANÇA DO PT,Congressperson meal,,,2380.0
OTAVIO LEITE,Taxi toll and parking,PSDB,RJ,70.0
OTAVIO LEITE,Fuels and lubricants,PSDB,RJ,105.07
OTAVIO LEITE,Fuels and lubricants,PSDB,RJ,225.37
OTAVIO LEITE,Congressperson meal,PSDB,RJ,44.0
OTAVIO LEITE,Congressperson meal,PSDB,RJ,67.65
OTAVIO LEITE,Congressperson meal,PSDB,RJ,29.15
MARCOS MONTES,Fuels and lubricants,PSD,MG,903.4
BENEDITA DA SILVA,Fuels and lubricants,PT,RJ,210.19
LUIZ FERNANDO FARIA,Fuels and lubricants,PP,MG,167.13
LUIZ FERNANDO FARIA,Congressperson meal,PP,MG,45.9
LUIZ FERNANDO FARIA,Fuels and lubricants,PP,MG,187.44
LEONARDO QUINTÃO,Fuels and lubricants,PMDB,MG,574.87
FÁBIO RAMALHO,Fuels and lubricants,PMDB,MG,150.03
FÁBIO RAMALHO,Fuels and lubricants,PMDB,MG,170.01
DÉCIO LIMA,Congressperson meal,PT,SC,47.15
DÉCIO LIMA,Congressperson meal,PT,SC,40.5
DÉCIO LIMA,Fuels and lubricants,PT,SC,50.0
CLEBER VERDE,Fuels and lubricants,PRB,MA,222.14
CHICO D'ANGELO,Taxi toll and parking,PT,RJ,60.0
CELSO MALDANER,Fuels and lubricants,PMDB,SC,100.0
CELSO MALDANER,Publicity of parliamentary activity,PMDB,SC,300.0
AFONSO HAMM,Fuels and lubricants,PP,RS,160.01
MARCO MAIA,Fuels and lubricants,PT,RS,50.0
GORETE PEREIRA,Maintenance of office supporting parliamentary activity,PR,CE,271.4
VICENTINHO,Fuels and lubricants,PT,SP,1053.63
REGINALDO LOPES,Fuels and lubricants,PT,MG,100.0
JOÃO CAMPOS,Maintenance of office supporting parliamentary activity,PRB,GO,348.0
GIACOBO,Lodging except for congressperson from Distrito Federal,PR,PR,897.57
GERALDO RESENDE,Publicity of parliamentary activity,PSDB,MS,10500.0
GERALDO RESENDE,Fuels and lubricants,PSDB,MS,150.0
DELEY,Fuels and lubricants,PTB,RJ,114.51
JOSÉ CARLOS ARAÚJO,Fuels and lubricants,PR,BA,165.83
CHICO ALENCAR,Congressperson meal,PSOL,RJ,35.51
CARLOS SOUZA,Fuels and lubricants,PSDB,AM,100.0
ASSIS DO COUTO,Fuels and lubricants,PDT,PR,143.06
ASSIS DO COUTO,Congressperson meal,PDT,PR,45.95
ALICE PORTUGAL,Fuels and lubricants,PCdoB,BA,119.4
CELSO JACOB,Congressperson meal,PMDB,RJ,49.5
POMPEO DE MATTOS,Congressperson meal,PDT,RS,15.0
HENRIQUE FONTANA,Fuels and lubricants,PT,RS,223.94
OSMAR SERRAGLIO,Fuels and lubricants,PMDB,PR,221.88
PEDRO CHAVES,Fuels and lubricants,PMDB,GO,200.75
GONZAGA PATRIOTA,Fuels and lubricants,PSB,PE,258.61
LINCOLN PORTELA,Fuels and lubricants,PRB,MG,58.56
LINCOLN PORTELA,Fuels and lubricants,PRB,MG,30.0
NELSON PELLEGRINO,Fuels and lubricants,PT,BA,50.0
NELSON PELLEGRINO,Fuels and lubricants,PT,BA,136.63
NELSON PELLEGRINO,Fuels and lubricants,PT,BA,94.28
NELSON PELLEGRINO,Lodging except for congressperson from Distrito Federal,PT,BA,150.0
LUCIANO BIVAR,Fuels and lubricants,PSL,PE,35.0
CARLOS EDUARDO CADOCA,Security service provided by specialized company,PDT,PE,149.22
ANDRÉ DE PAULA,Fuels and lubricants,PSD,PE,70.0
ANDRÉ DE PAULA,Fuels and lubricants,PSD,PE,359.56
ANDRÉ DE PAULA,Fuels and lubricants,PSD,PE,179.99
ANDRÉ DE PAULA,Congressperson meal,PSD,PE,55.36
ANDRÉ DE PAULA,Congressperson meal,PSD,PE,92.5
DAMIÃO FELICIANO,Fuels and lubricants,PDT,PB,200.0
MARCUS VICENTE,Fuels and lubricants,PP,ES,164.01
RAIMUNDO GOMES DE MATOS,Fuels and lubricants,PSDB,CE,180.01
SILVIO TORRES,Congressperson meal,PSDB,SP,83.6
SILVIO TORRES,Maintenance of office supporting parliamentary activity,PSDB,SP,242.29
ROBERTO FREIRE,Fuels and lubricants,PPS,SP,116.06
JOSÉ ROCHA,Fuels and lubricants,PR,BA,50.0
JOSÉ ROCHA,Fuels and lubricants,PR,BA,226.1
JOSÉ ROCHA,Congressperson meal,PR,BA,36.3
JOSÉ ROCHA,Fuels and lubricants,PR,BA,50.0
HERMES PARCIANELLO,Fuels and lubricants,PMDB,PR,216.17
ELCIONE BARBALHO,Fuels and lubricants,PMDB,PA,3082.5
ELCIONE BARBALHO,Fuels and lubricants,PMDB,PA,200.0
ELCIONE BARBALHO,Congressperson meal,PMDB,PA,87.0
ELCIONE BARBALHO,Congressperson meal,PMDB,PA,25.65
EDUARDO BARBOSA,Taxi toll and parking,PSDB,MG,10.4
EDUARDO BARBOSA,Congressperson meal,PSDB,MG,51.65
DILCEU SPERAFICO,Fuels and lubricants,PP,PR,142.14
DILCEU SPERAFICO,Fuels and lubricants,PP,PR,130.03
BENEDITA DA SILVA,Fuels and lubricants,PT,RJ,217.89
LEONARDO QUINTÃO,Telecommunication,PMDB,MG,193.63
CELSO MALDANER,Fuels and lubricants,PMDB,SC,212.23
WELLINGTON ROBERTO,Fuels and lubricants,PR,PB,50.0
GERALDO RESENDE,Fuels and lubricants,PSDB,MS,179.09
ONYX LORENZONI,Fuels and lubricants,DEM,RS,100.0
LUIZ COUTO,Telecommunication,PT,PB,47.73
LUIZ COUTO,Telecommunication,PT,PB,622.77
LUIZ COUTO,Telecommunication,PT,PB,143.13
DELEY,Fuels and lubricants,PTB,RJ,119.01
BENJAMIN MARANHÃO,Fuels and lubricants,SD,PB,260.07
POMPEO DE MATTOS,Telecommunication,PDT,RS,207.17
LUIS CARLOS HEINZE,Fuels and lubricants,PP,RS,164.01
LUIS CARLOS HEINZE,Fuels and lubricants,PP,RS,115.49
HENRIQUE FONTANA,Fuels and lubricants,PT,RS,113.21
GONZAGA PATRIOTA,Fuels and lubricants,PSB,PE,137.22
GONZAGA PATRIOTA,Congressperson meal,PSB,PE,38.61
GONZAGA PATRIOTA,Fuels and lubricants,PSB,PE,220.0
LINCOLN PORTELA,Fuels and lubricants,PRB,MG,50.02
LINCOLN PORTELA,Maintenance of office supporting parliamentary activity,PRB,MG,652.97
NELSON PELLEGRINO,Congressperson meal,PT,BA,30.0
NELSON PELLEGRINO,Congressperson meal,PT,BA,9.0
NELSON PELLEGRINO,Taxi toll and parking,PT,BA,9.7
NELSON PELLEGRINO,Telecommunication,PT,BA,708.46
RAIMUNDO GOMES DE MATOS,Fuels and lubricants,PSDB,CE,128.15
RAIMUNDO GOMES DE MATOS,Fuels and lubricants,PSDB,CE,198.08
RAIMUNDO GOMES DE MATOS,Fuels and lubricants,PSDB,CE,268.03
RAIMUNDO GOMES DE MATOS,Fuels and lubricants,PSDB,CE,120.0
SILVIO TORRES,Fuels and lubricants,PSDB,SP,63.0
HERMES PARCIANELLO,Fuels and lubricants,PMDB,PR,223.11
ELCIONE BARBALHO,Telecommunication,PMDB,PA,80.35
EDUARDO BARBOSA,Fuels and lubricants,PSDB,MG,157.99
PEPE VARGAS,Congressperson meal,PT,RS,39.36
PAULO TEIXEIRA,Lodging except for congressperson from Distrito Federal,PT,SP,95.0
OTAVIO LEITE,Fuels and lubricants,PSDB,RJ,172.81
BENEDITA DA SILVA,Fuels and lubricants,PT,RJ,100.0
GEORGE HILTON,Fuels and lubricants,PSB,MG,100.0
CLEBER VERDE,Fuels and lubricants,PRB,MA,250.79
CHICO LOPES,Fuels and lubricants,PCdoB,CE,50.0
CHICO D'ANGELO,Fuels and lubricants,PT,RJ,100.02
ANTONIO BULHÕES,Publicity of parliamentary activity,PRB,SP,97.0
AFONSO HAMM,Fuels and lubricants,PP,RS,207.08
AFONSO HAMM,Lodging except for congressperson from Distrito Federal,PP,RS,323.45
ANDRÉ FIGUEIREDO,Fuels and lubricants,PDT,CE,100.0
MARCO MAIA,Lodging except for congressperson from Distrito Federal,PT,RS,122.0
MARCO MAIA,Fuels and lubricants,PT,RS,220.01
WELLINGTON ROBERTO,Fuels and lubricants,PR,PB,100.0
DELEY,Fuels and lubricants,PTB,RJ,214.59
JOSÉ MENTOR,Lodging except for congressperson from Distrito Federal,PT,SP,328.0
JOSÉ MENTOR,Taxi toll and parking,PT,SP,8.5
BENJAMIN MARANHÃO,Fuels and lubricants,SD,PB,194.39
JÚLIO DELGADO,Taxi toll and parking,PSB,MG,5.3
JÚLIO DELGADO,Taxi toll and parking,PSB,MG,5.3
JÚLIO DELGADO,Taxi toll and parking,PSB,MG,5.3
JÚLIO DELGADO,Taxi toll and parking,PSB,MG,5.3
JÚLIO DELGADO,Taxi toll and parking,PSB,MG,5.3
JÚLIO DELGADO,Taxi toll and parking,PSB,MG,5.3
JÚLIO DELGADO,Fuels and lubricants,PSB,MG,130.03
POMPEO DE MATTOS,Fuels and lubricants,PDT,RS,200.0
POMPEO DE MATTOS,Fuels and lubricants,PDT,RS,100.0
POMPEO DE MATTOS,Congressperson meal,PDT,RS,46.0
LUIS CARLOS HEINZE,Fuels and lubricants,PP,RS,200.02
HENRIQUE FONTANA,Taxi toll and parking,PT,RS,7.1
OSMAR SERRAGLIO,Congressperson meal,PMDB,PR,20.0
PEDRO CHAVES,Fuels and lubricants,PMDB,GO,200.02
LINCOLN PORTELA,Fuels and lubricants,PRB,MG,123.62
LINCOLN PORTELA,Fuels and lubricants,PRB,MG,130.0
LINCOLN PORTELA,Fuels and lubricants,PRB,MG,178.1
LINCOLN PORTELA,Fuels and lubricants,PRB,MG,152.97
NELSON PELLEGRINO,Taxi toll and parking,PT,BA,9.7
NELSON PELLEGRINO,Taxi toll and parking,PT,BA,9.7
DAMIÃO FELICIANO,Fuels and lubricants,PDT,PB,311.65
SILVIO TORRES,Fuels and lubricants,PSDB,SP,236.38
PEPE VARGAS,Fuels and lubricants,PT,RS,161.24
BENEDITA DA SILVA,Publicity of parliamentary activity,PT,RJ,550.0
LAERTE BESSA,Fuels and lubricants,PR,DF,151.01
LAERTE BESSA,Fuels and lubricants,PR,DF,317.0
JÔ MORAES,Publicity of parliamentary activity,PCdoB,MG,550.0
FELIPE MAIA,Publicity of parliamentary activity,DEM,RN,550.0
DÉCIO LIMA,Congressperson meal,PT,SC,120.0
DÉCIO LIMA,Congressperson meal,PT,SC,35.51
DÉCIO LIMA,Fuels and lubricants,PT,SC,120.01
DÉCIO LIMA,Fuels and lubricants,PT,SC,135.1
CLEBER VERDE,Fuels and lubricants,PRB,MA,370.0
CLEBER VERDE,Fuels and lubricants,PRB,MA,100.0
CHICO LOPES,Publicity of parliamentary activity,PCdoB,CE,8050.0
CHICO LOPES,Publicity of parliamentary activity,PCdoB,CE,12000.0
CHICO LOPES,Fuels and lubricants,PCdoB,CE,171.17
CHICO D'ANGELO,Fuels and lubricants,PT,RJ,126.0
CELSO MALDANER,Fuels and lubricants,PMDB,SC,100.0
AFONSO HAMM,Fuels and lubricants,PP,RS,164.04
MARCO MAIA,Fuels and lubricants,PT,RS,40.0
MARCO MAIA,Taxi toll and parking,PT,RS,4.9
MARCO MAIA,Fuels and lubricants,PT,RS,188.0
VANDER LOUBET,Fuels and lubricants,PT,MS,60.02
REGINALDO LOPES,Fuels and lubricants,PT,MG,130.0
REGINALDO LOPES,Fuels and lubricants,PT,MG,100.0
PATRUS ANANIAS,Maintenance of office supporting parliamentary activity,PT,MG,5802.88
MARIA DO ROSÁRIO,Fuels and lubricants,PT,RS,203.99
MARIA DO ROSÁRIO,Taxi toll and parking,PT,RS,3.5
CARLOS MANATO,Publicity of parliamentary activity,SD,ES,550.0
LUIZ COUTO,Consultancy research and technical work,PT,PB,6000.0
JOSÉ MENTOR,Taxi toll and parking,PT,SP,20.0
JOSÉ MENTOR,Fuels and lubricants,PT,SP,190.02
DANIEL ALMEIDA,Publicity of parliamentary activity,PCdoB,BA,550.0
CHICO ALENCAR,Publicity of parliamentary activity,PSOL,RJ,550.0
CARLOS SOUZA,Fuels and lubricants,PSDB,AM,150.0
CARLOS SOUZA,Publicity of parliamentary activity,PSDB,AM,550.0
ALICE PORTUGAL,Fuels and lubricants,PCdoB,BA,100.0
JÚLIO DELGADO,Terrestrial maritime and fluvial tickets,PSB,MG,143.24
ALBERTO FRAGA,Publicity of parliamentary activity,DEM,DF,550.0
CELSO JACOB,Congressperson meal,PMDB,RJ,49.5
POMPEO DE MATTOS,Congressperson meal,PDT,RS,41.45
POMPEO DE MATTOS,Fuels and lubricants,PDT,RS,150.0
LUIS CARLOS HEINZE,Fuels and lubricants,PP,RS,123.23
LUIS CARLOS HEINZE,Congressperson meal,PP,RS,24.0
HENRIQUE FONTANA,Congressperson meal,PT,RS,9.0
HENRIQUE FONTANA,Taxi toll and parking,PT,RS,7.1
HENRIQUE FONTANA,Taxi toll and parking,PT,RS,10.7
HENRIQUE FONTANA,Taxi toll and parking,PT,RS,10.7
PEDRO CHAVES,Fuels and lubricants,PMDB,GO,185.01
RODRIGO MAIA,Fuels and lubricants,DEM,RJ,215.43
LINCOLN PORTELA,Fuels and lubricants,PRB,MG,51.35
PAULO MAGALHÃES,Fuels and lubricants,PSD,BA,100.0
NELSON PELLEGRINO,Publicity of parliamentary activity,PT,BA,550.0
ANDRÉ DE PAULA,Fuels and lubricants,PSD,PE,50.0
ANDRÉ DE PAULA,Congressperson meal,PSD,PE,36.93
DAMIÃO FELICIANO,Fuels and lubricants,PDT,PB,150.0
PEDRO FERNANDES,Fuels and lubricants,PTB,MA,160.57
RAIMUNDO GOMES DE MATOS,Publicity of parliamentary activity,PSDB,CE,550.0
RAIMUNDO GOMES DE MATOS,Fuels and lubricants,PSDB,CE,173.0
RAIMUNDO GOMES DE MATOS,Fuels and lubricants,PSDB,CE,150.0
RAIMUNDO GOMES DE MATOS,Fuels and lubricants,PSDB,CE,152.55
LAURA CARNEIRO,Publicity of parliamentary activity,PMDB,RJ,550.0
JOSÉ ROCHA,Fuels and lubricants,PR,BA,100.0
JOSÉ ROCHA,Fuels and lubricants,PR,BA,203.01
JOSÉ ROCHA,Fuels and lubricants,PR,BA,100.0
ELCIONE BARBALHO,Fuels and lubricants,PMDB,PA,200.02
DILCEU SPERAFICO,Fuels and lubricants,PP,PR,100.02
LUIZ FERNANDO FARIA,Fuels and lubricants,PP,MG,207.15
LEONARDO QUINTÃO,Telecommunication,PMDB,MG,1305.22
LAERTE BESSA,Fuels and lubricants,PR,DF,249.04
JÔ MORAES,Telecommunication,PCdoB,MG,448.86
EDUARDO DA FONTE,Fuels and lubricants,PP,PE,191.98
DÉCIO LIMA,Congressperson meal,PT,SC,77.55
CHICO D'ANGELO,Fuels and lubricants,PT,RJ,160.02
ANTONIO BULHÕES,Congressperson meal,PRB,SP,176.0
RUBENS OTONI,Telecommunication,PT,GO,1493.82
GILBERTO NASCIMENTO,Maintenance of office supporting parliamentary activity,PSC,SP,397.0
GIACOBO,Telecommunication,PR,PR,1342.79
JOSÉ MENTOR,Congressperson meal,PT,SP,26.0
JOSÉ MENTOR,Taxi toll and parking,PT,SP,40.0
JOSÉ CARLOS ARAÚJO,Telecommunication,PR,BA,64.99
JOSÉ CARLOS ARAÚJO,Telecommunication,PR,BA,1365.77
CARLOS SAMPAIO,Telecommunication,PSDB,SP,584.89
CARLOS SAMPAIO,Telecommunication,PSDB,SP,710.47
ALICE PORTUGAL,Fuels and lubricants,PCdoB,BA,190.59
JÚLIO DELGADO,Telecommunication,PSB,MG,920.81
JÚLIO DELGADO,Taxi toll and parking,PSB,MG,5.3
JÚLIO DELGADO,Taxi toll and parking,PSB,MG,5.3
JÚLIO DELGADO,Taxi toll and parking,PSB,MG,5.3
JÚLIO DELGADO,Taxi toll and parking,PSB,MG,5.3
JÚLIO DELGADO,Taxi toll and parking,PSB,MG,5.3
JÚLIO DELGADO,Taxi toll and parking,PSB,MG,5.3
JÚLIO DELGADO,Fuels and lubricants,PSB,MG,50.0
JÚLIO DELGADO,Fuels and lubricants,PSB,MG,88.71
POMPEO DE MATTOS,Congressperson meal,PDT,RS,34.68
POMPEO DE MATTOS,Fuels and lubricants,PDT,RS,50.0
LUIS CARLOS HEINZE,Fuels and lubricants,PP,RS,208.01
LUIS CARLOS HEINZE,Lodging except for congressperson from Distrito Federal,PP,RS,235.0
HENRIQUE FONTANA,Fuels and lubricants,PT,RS,123.73
